iter	Passed	Remaining
0	3	3739
1	8	4384
2	13	4579
3	17	4274
4	19	3942
5	23	3823
6	25	3675
7	28	3543
8	30	3360
9	33	3298
10	35	3201
11	37	3124
12	40	3105
13	43	3029
14	44	2939
15	46	2862
16	49	2852
17	51	2806
18	54	2817
19	57	2807
20	59	2767
21	61	2724
22	63	2678
23	65	2678
24	67	2618
25	69	2612
26	71	2586
27	73	2565
28	75	2533
29	77	2510
30	81	2537
31	84	2543
32	86	2532
33	89	2538
34	91	2533
35	94	2518
36	96	2523
37	99	2512
38	101	2503
39	104	2499
40	106	2492
41	109	2491
42	111	2482
43	114	2484
44	116	2470
45	118	2461
46	121	2457
47	123	2446
48	125	2432
49	127	2431
50	129	2414
51	132	2408
52	134	2400
53	136	2397
54	138	2387
55	141	2389
56	144	2382
57	146	2384
58	148	2374
59	151	2369
60	153	2364
61	156	2368
62	161	2400
63	163	2396
64	166	2392
65	168	2388
66	171	2381
67	175	2400
68	177	2397
69	180	2397
70	183	2398
71	187	2411
72	190	2419
73	192	2406
74	194	2401
75	197	2399
76	200	2402
77	202	2399
78	205	2392
79	207	2391
80	209	2382
81	212	2379
82	215	2378
83	219	2389
84	222	2391
85	224	2387
86	227	2382
87	230	2386
88	232	2383
89	235	2376
90	237	2369
91	239	2367
92	241	2356
93	243	2349
94	246	2346
95	248	2340
96	250	2334
97	253	2336
98	256	2330
99	258	2325
100	261	2331
101	264	2331
102	268	2340
103	271	2342
104	274	2342
105	277	2340
106	280	2337
107	283	2342
108	286	2342
109	288	2337
110	291	2336
111	293	2330
112	296	2325
113	298	2319
114	301	2322
115	305	2324
116	308	2326
117	310	2322
118	312	2316
119	315	2313
120	317	2309
121	321	2311
122	323	2308
123	327	2311
124	329	2304
125	332	2303
126	335	2303
127	338	2303
128	340	2301
129	343	2296
130	346	2295
131	349	2296
132	353	2301
133	356	2303
134	359	2300
135	361	2297
136	364	2298
137	367	2295
138	370	2293
139	372	2286
140	374	2283
141	377	2281
142	380	2283
143	383	2281
144	385	2275
145	388	2272
146	390	2268
147	393	2264
148	395	2257
149	397	2254
150	400	2250
151	403	2248
152	406	2249
153	408	2243
154	413	2253
155	416	2252
156	418	2249
157	421	2243
158	423	2239
159	426	2239
160	429	2238
161	434	2248
162	436	2240
163	438	2236
164	441	2235
165	444	2234
166	448	2236
167	451	2233
168	453	2228
169	456	2226
170	458	2224
171	460	2218
172	463	2215
173	466	2212
174	468	2208
175	471	2206
176	473	2202
177	476	2202
178	481	2206
179	483	2203
180	486	2200
181	489	2201
182	492	2200
183	495	2197
184	498	2194
185	501	2194
186	504	2191
187	507	2191
188	510	2192
189	515	2196
190	518	2195
191	521	2193
192	524	2195
193	528	2196
194	532	2196
195	535	2196
196	539	2197
197	543	2202
198	546	2199
199	549	2197
200	553	2198
201	556	2196
202	559	2197
203	562	2192
204	565	2191
205	568	2192
206	571	2188
207	575	2191
208	578	2190
209	581	2188
210	584	2186
211	588	2187
212	592	2187
213	595	2186
214	598	2184
215	601	2181
216	604	2181
217	609	2184
218	612	2182
219	614	2179
220	618	2179
221	621	2179
222	624	2176
223	627	2174
224	631	2174
225	636	2179
226	641	2185
227	650	2203
228	656	2209
229	659	2207
230	661	2203
231	663	2197
232	666	2193
233	669	2191
234	673	2191
235	676	2188
236	679	2186
237	682	2183
238	684	2179
239	687	2175
240	690	2174
241	692	2169
242	696	2169
243	699	2166
244	701	2162
245	705	2163
246	709	2161
247	712	2159
248	714	2155
249	717	2151
250	722	2154
251	726	2154
252	729	2155
253	732	2151
254	736	2150
255	739	2149
256	741	2144
257	744	2141
258	747	2139
259	753	2143
260	756	2141
261	758	2137
262	762	2135
263	764	2131
264	767	2127
265	770	2125
266	773	2122
267	777	2123
268	779	2117
269	781	2113
270	785	2112
271	788	2109
272	792	2109
273	794	2105
274	796	2100
275	799	2098
276	802	2095
277	805	2092
278	809	2090
279	812	2089
280	816	2089
281	820	2089
282	824	2090
283	828	2088
284	831	2086
285	834	2082
286	837	2079
287	841	2079
288	844	2076
289	847	2073
290	849	2070
291	853	2069
292	855	2064
293	858	2060
294	860	2057
295	863	2054
296	867	2053
297	870	2050
298	873	2046
299	875	2043
300	878	2041
301	881	2037
302	884	2035
303	888	2033
304	891	2031
305	894	2028
306	896	2023
307	899	2020
308	902	2017
309	904	2014
310	907	2011
311	910	2007
312	913	2004
313	916	2001
314	918	1998
315	921	1994
316	924	1992
317	928	1990
318	931	1989
319	934	1986
320	937	1982
321	942	1983
322	944	1980
323	947	1977
324	951	1975
325	954	1972
326	956	1969
327	960	1966
328	962	1963
329	965	1960
330	968	1957
331	972	1956
332	975	1954
333	980	1954
334	983	1951
335	984	1946
336	987	1943
337	990	1940
338	992	1935
339	996	1933
340	998	1930
341	1003	1931
342	1006	1927
343	1009	1924
344	1012	1922
345	1016	1921
346	1020	1919
347	1022	1916
348	1026	1915
349	1029	1912
350	1032	1909
351	1035	1905
352	1037	1901
353	1040	1897
354	1042	1894
355	1045	1891
356	1049	1889
357	1051	1886
358	1054	1882
359	1057	1880
360	1060	1876
361	1062	1873
362	1065	1870
363	1067	1865
364	1070	1862
365	1073	1859
366	1075	1854
367	1077	1850
368	1081	1848
369	1083	1844
370	1085	1840
371	1087	1836
372	1090	1833
373	1094	1831
374	1097	1828
375	1099	1824
376	1102	1821
377	1105	1818
378	1108	1815
379	1111	1813
380	1114	1810
381	1116	1806
382	1120	1805
383	1123	1802
384	1126	1799
385	1129	1795
386	1131	1792
387	1135	1791
388	1138	1787
389	1140	1783
390	1143	1781
391	1146	1778
392	1149	1775
393	1152	1772
394	1155	1770
395	1157	1766
396	1160	1762
397	1163	1760
398	1167	1758
399	1171	1757
400	1174	1755
401	1177	1751
402	1180	1748
403	1183	1745
404	1185	1742
405	1188	1738
406	1192	1737
407	1195	1735
408	1199	1732
409	1201	1729
410	1205	1727
411	1207	1723
412	1209	1719
413	1212	1716
414	1215	1713
415	1218	1710
416	1222	1708
417	1224	1705
418	1228	1702
419	1230	1699
420	1232	1695
421	1235	1692
422	1238	1690
423	1240	1685
424	1244	1684
425	1247	1680
426	1250	1677
427	1253	1674
428	1256	1672
429	1258	1668
430	1261	1665
431	1264	1662
432	1268	1660
433	1272	1659
434	1275	1656
435	1279	1654
436	1281	1651
437	1284	1648
438	1287	1645
439	1290	1642
440	1293	1640
441	1296	1636
442	1298	1632
443	1300	1628
444	1302	1624
445	1306	1622
446	1308	1618
447	1310	1614
448	1312	1610
449	1316	1608
450	1320	1606
451	1323	1604
452	1327	1602
453	1330	1599
454	1333	1596
455	1335	1592
456	1338	1590
457	1341	1588
458	1344	1584
459	1347	1581
460	1350	1578
461	1352	1574
462	1354	1571
463	1357	1567
464	1359	1563
465	1361	1560
466	1363	1556
467	1366	1553
468	1369	1550
469	1372	1547
470	1374	1544
471	1377	1540
472	1379	1537
473	1382	1533
474	1384	1530
475	1387	1527
476	1390	1524
477	1392	1521
478	1396	1518
479	1399	1515
480	1402	1512
481	1405	1509
482	1407	1506
483	1410	1503
484	1412	1499
485	1415	1496
486	1418	1493
487	1421	1491
488	1424	1488
489	1426	1485
490	1429	1482
491	1433	1480
492	1436	1477
493	1440	1475
494	1444	1473
495	1447	1471
496	1449	1467
497	1452	1463
498	1455	1460
499	1458	1458
500	1461	1455
501	1464	1453
502	1466	1448
503	1468	1445
504	1471	1442
505	1474	1439
506	1477	1436
507	1480	1433
508	1483	1431
509	1486	1428
510	1489	1425
511	1494	1424
512	1496	1420
513	1499	1417
514	1502	1415
515	1505	1412
516	1509	1410
517	1512	1407
518	1514	1403
519	1519	1402
520	1522	1399
521	1524	1396
522	1527	1392
523	1529	1389
524	1533	1387
525	1536	1384
526	1539	1382
527	1542	1378
528	1544	1374
529	1547	1371
530	1550	1369
531	1551	1364
532	1552	1360
533	1555	1357
534	1559	1355
535	1562	1352
536	1565	1349
537	1567	1346
538	1570	1343
539	1573	1340
540	1576	1337
541	1579	1334
542	1582	1331
543	1584	1328
544	1587	1325
545	1591	1323
546	1596	1321
547	1598	1318
548	1602	1316
549	1606	1314
550	1608	1310
551	1612	1308
552	1614	1305
553	1615	1300
554	1618	1297
555	1621	1294
556	1624	1291
557	1626	1288
558	1630	1286
559	1633	1283
560	1636	1280
561	1638	1276
562	1641	1274
563	1645	1271
564	1649	1270
565	1653	1267
566	1656	1264
567	1660	1262
568	1664	1260
569	1667	1258
570	1670	1255
571	1674	1252
572	1676	1249
573	1682	1248
574	1685	1245
575	1691	1245
576	1694	1241
577	1697	1239
578	1699	1236
579	1702	1232
580	1705	1230
581	1708	1226
582	1711	1224
583	1714	1221
584	1717	1218
585	1721	1216
586	1724	1213
587	1727	1210
588	1729	1207
589	1732	1204
590	1735	1200
591	1738	1198
592	1741	1195
593	1745	1192
594	1748	1190
595	1752	1187
596	1754	1184
597	1757	1181
598	1760	1178
599	1763	1175
600	1766	1173
601	1770	1170
602	1772	1167
603	1775	1164
604	1777	1160
605	1780	1157
606	1784	1155
607	1789	1153
608	1792	1150
609	1795	1147
610	1798	1145
611	1802	1142
612	1805	1139
613	1808	1136
614	1810	1133
615	1813	1130
616	1816	1127
617	1819	1124
618	1822	1121
619	1824	1118
620	1827	1115
621	1830	1112
622	1831	1108
623	1834	1105
624	1837	1102
625	1841	1100
626	1844	1097
627	1848	1094
628	1850	1091
629	1854	1089
630	1857	1086
631	1862	1084
632	1865	1081
633	1869	1079
634	1872	1076
635	1875	1073
636	1877	1070
637	1880	1067
638	1883	1064
639	1886	1061
640	1889	1058
641	1892	1055
642	1895	1052
643	1898	1049
644	1901	1046
645	1904	1043
646	1907	1040
647	1910	1037
648	1912	1034
649	1915	1031
650	1918	1028
651	1921	1025
652	1924	1022
653	1928	1020
654	1931	1017
655	1936	1015
656	1939	1012
657	1942	1009
658	1944	1006
659	1948	1003
660	1950	1000
661	1952	996
662	1954	993
663	1956	990
664	1958	986
665	1962	984
666	1965	981
667	1968	978
668	1971	975
669	1973	972
670	1976	969
671	1980	966
672	1983	963
673	1987	961
674	1991	958
675	1994	956
676	1998	953
677	2002	950
678	2004	947
679	2008	945
680	2010	941
681	2013	938
682	2015	935
683	2018	932
684	2021	929
685	2024	926
686	2027	923
687	2030	920
688	2032	917
689	2034	913
690	2037	911
691	2040	908
692	2042	904
693	2045	901
694	2048	899
695	2051	896
696	2054	893
697	2057	890
698	2060	887
699	2063	884
700	2064	880
701	2068	877
702	2071	875
703	2074	872
704	2078	869
705	2081	866
706	2083	863
707	2087	861
708	2091	858
709	2095	855
710	2100	853
711	2104	851
712	2108	848
713	2112	846
714	2116	843
715	2120	841
716	2124	838
717	2127	835
718	2132	833
719	2136	830
720	2140	828
721	2143	825
722	2148	823
723	2154	821
724	2157	818
725	2160	815
726	2163	812
727	2165	809
728	2168	806
729	2171	803
730	2174	800
731	2177	797
732	2181	794
733	2185	792
734	2188	789
735	2193	786
736	2196	783
737	2199	780
738	2202	777
739	2204	774
740	2208	771
741	2211	768
742	2214	765
743	2217	763
744	2220	760
745	2224	757
746	2227	754
747	2231	751
748	2235	749
749	2239	746
750	2242	743
751	2244	740
752	2247	737
753	2251	734
754	2253	731
755	2256	728
756	2259	725
757	2262	722
758	2264	719
759	2267	716
760	2271	713
761	2274	710
762	2277	707
763	2279	704
764	2283	701
765	2286	698
766	2289	695
767	2292	692
768	2295	689
769	2298	686
770	2302	683
771	2305	681
772	2309	678
773	2313	675
774	2317	672
775	2322	670
776	2327	667
777	2329	664
778	2332	661
779	2335	658
780	2339	655
781	2341	652
782	2344	649
783	2347	646
784	2351	644
785	2354	641
786	2357	638
787	2360	635
788	2363	632
789	2366	629
790	2369	625
791	2372	622
792	2374	619
793	2377	616
794	2380	613
795	2383	610
796	2386	607
797	2389	604
798	2391	601
799	2394	598
800	2399	596
801	2402	593
802	2405	590
803	2408	587
804	2411	584
805	2413	581
806	2416	577
807	2419	575
808	2422	572
809	2425	568
810	2428	565
811	2430	562
812	2433	559
813	2435	556
814	2438	553
815	2440	550
816	2444	547
817	2446	544
818	2449	541
819	2452	538
820	2454	535
821	2459	532
822	2462	529
823	2465	526
824	2468	523
825	2473	520
826	2476	518
827	2479	515
828	2482	512
829	2485	509
830	2488	506
831	2491	503
832	2494	500
833	2498	497
834	2501	494
835	2504	491
836	2508	488
837	2511	485
838	2515	482
839	2519	479
840	2522	476
841	2525	473
842	2529	471
843	2532	468
844	2534	464
845	2537	461
846	2540	458
847	2542	455
848	2545	452
849	2548	449
850	2551	446
851	2553	443
852	2556	440
853	2559	437
854	2561	434
855	2564	431
856	2566	428
857	2570	425
858	2573	422
859	2576	419
860	2581	416
861	2585	413
862	2588	410
863	2594	408
864	2597	405
865	2600	402
866	2604	399
867	2607	396
868	2609	393
869	2613	390
870	2616	387
871	2619	384
872	2621	381
873	2624	378
874	2627	375
875	2630	372
876	2633	369
877	2636	366
878	2638	363
879	2640	360
880	2643	357
881	2647	354
882	2649	351
883	2652	348
884	2654	344
885	2657	341
886	2659	338
887	2662	335
888	2665	332
889	2668	329
890	2671	326
891	2674	323
892	2677	320
893	2680	317
894	2683	314
895	2687	311
896	2690	308
897	2693	305
898	2696	302
899	2699	299
900	2702	296
901	2705	293
902	2708	290
903	2711	287
904	2731	286
905	2741	284
906	2749	281
907	2758	279
908	2766	276
909	2774	274
910	2782	271
911	2788	269
912	2792	266
913	2799	263
914	2807	260
915	2809	257
916	2815	254
917	2819	251
918	2825	249
919	2829	246
920	2833	243
921	2839	240
922	2842	237
923	2845	234
924	2848	230
925	2851	227
926	2854	224
927	2857	221
928	2861	218
929	2864	215
930	2867	212
931	2870	209
932	2874	206
933	2877	203
934	2880	200
935	2883	197
936	2887	194
937	2890	191
938	2893	187
939	2896	184
940	2898	181
941	2902	178
942	2904	175
943	2908	172
944	2911	169
945	2916	166
946	2919	163
947	2922	160
948	2925	157
949	2929	154
950	2931	151
951	2934	147
952	2938	144
953	2941	141
954	2944	138
955	2947	135
956	2950	132
957	2953	129
958	2956	126
959	2959	123
960	2962	120
961	2965	117
962	2969	114
963	2974	111
964	2977	108
965	2982	104
966	2986	101
967	2989	98
968	2991	95
969	2994	92
970	2996	89
971	2999	86
972	3003	83
973	3006	80
974	3010	77
975	3013	74
976	3018	71
977	3021	67
978	3027	64
979	3030	61
980	3033	58
981	3036	55
982	3040	52
983	3042	49
984	3046	46
985	3049	43
986	3053	40
987	3057	37
988	3059	34
989	3062	30
990	3066	27
991	3069	24
992	3072	21
993	3074	18
994	3079	15
995	3081	12
996	3084	9
997	3087	6
998	3090	3
999	3094	0
